"","term","freq"
"admin","admin",10
"literally","literally",10
"wrong","wrong",10
"unclean","unclean",10
"tmz","tmz",10
"dougsides","dougsides",10
"australia","australia",10
"creation","creation",10
"sharia","sharia",10
"return","return",10
"ancient","ancient",10
"enemy","enemy",10
"spreading","spreading",10
"end","end",10
"abcnews","abcnews",10
"bombs","bombs",10
"change","change",10
"homelandsecurity","homelandsecurity",10
"nytimes","nytimes",10
"y","y",10
"boss","boss",10
"matter","matter",10
"liberal","liberal",10
"brotherhood","brotherhood",10
"blame","blame",10
"front","front",10
"msnbc","msnbc",10
"cells","cells",10
"clear","clear",10
"miserably","miserably",10
"rural","rural",10
"transforms","transforms",10
"suing","suing",10
